sector,quarter,return_5d,return_10d,speech_count,return_time
Auto,2016Q2,0.010758469013397151,0.02790957495374865,8,1-2 Weeks
Auto,2016Q3,0.029083599072712345,0.03179661406818197,8,~1 Week
Auto,2016Q4,-0.014853000810991104,-0.0033037692315126075,38,~1 Week
Auto,2017Q1,0.010039750946251706,0.02908323839424899,14,~2 Weeks
Auto,2017Q2,0.014306251570419898,0.02753818053199466,15,1-2 Weeks
Auto,2017Q3,0.013927956864406925,0.011805448649830389,14,~1 Week
Auto,2017Q4,0.014872927447399749,0.028393576198501788,35,1-2 Weeks
Auto,2018Q1,-0.0017075900355661327,-0.002169429740617594,8,~1 Week
Auto,2018Q2,0.0016903655981295883,0.0025038693083236805,13,~1 Week
Auto,2018Q3,-0.02152647502307116,-0.04114298461880491,5,1-2 Weeks
Auto,2018Q4,-0.0047882025179756685,-0.0005096583805933768,38,~1 Week
Auto,2019Q1,0.008556213935538815,0.010054900593259603,23,~1 Week
Auto,2019Q2,0.005955693845518084,-0.007240332997166149,52,~1 Week
Auto,2019Q3,0.001493031343636843,-0.00763024712421956,36,~2 Weeks
Auto,2019Q4,0.0017598539912389618,0.016412301776800454,60,~2 Weeks
Auto,2020Q1,-0.017201054773789075,-0.0385810508978263,18,1-2 Weeks
Auto,2020Q2,0.03464875796040134,0.05447998857746735,12,1-2 Weeks
Auto,2020Q3,0.018054823313983892,0.03439214766546519,16,1-2 Weeks
Auto,2020Q4,0.010566261814890891,0.03397150357429337,47,~2 Weeks
Auto,2021Q1,-0.004845009965627469,-0.013214700078393772,23,1-2 Weeks
Auto,2021Q2,0.013613219912692348,0.021066398934733464,17,1-2 Weeks
Auto,2021Q3,0.0027612312426779956,0.015434533814237017,14,~2 Weeks
Auto,2021Q4,-0.014553216787405048,-0.019364202070843686,49,~1 Week
Auto,2022Q1,-0.03640700305158478,-0.06600698606831693,10,1-2 Weeks
Auto,2022Q2,0.016191937060413504,0.02092571398668602,12,~1 Week
Auto,2022Q3,0.006416891945575775,0.01359471233670222,18,1-2 Weeks
Auto,2022Q4,-0.009431898473909706,-0.00976065874355434,42,~1 Week
Auto,2023Q1,0.008612170805566931,0.006857262769604622,25,~1 Week
Auto,2023Q2,0.011801676504189245,0.029345808850485676,25,1-2 Weeks
Auto,2023Q3,0.0026858317258088276,0.007550881970112547,18,1-2 Weeks
Auto,2023Q4,0.009405317998382219,0.013612018386088786,60,~1 Week
Auto,2024Q1,0.010130548104869243,0.024838248154923116,26,1-2 Weeks
Auto,2024Q2,0.006534320046694692,0.012294209322001221,39,1-2 Weeks
Auto,2024Q3,-0.008754758403701822,-0.005462278124251524,28,~1 Week
Auto,2024Q4,-0.0060550749269681885,-0.006525435472292163,42,~1 Week
Auto,2025Q1,-0.025861775492892508,-0.03530934901193344,28,~1 Week
Auto,2025Q2,0.011225691873023047,0.01994152786645074,42,1-2 Weeks
Auto,2025Q3,0.007220423179903679,0.022923695476715317,24,~2 Weeks
Auto,2025Q4,0.005868989287329985,0.011604180884859793,53,1-2 Weeks
Auto,2026Q1,-0.013441608196590111,-0.009921137886289406,58,~1 Week
Auto,2026Q2,0.03930455808781132,0.08303511415248095,6,1-2 Weeks
Banking,2016Q2,0.018576918289837475,0.03249257147139687,8,1-2 Weeks
Banking,2016Q3,0.006849386282984967,0.0014048051937474249,8,~1 Week
Banking,2016Q4,-0.012312464014774746,-0.017305692183699508,38,~1 Week
Banking,2017Q1,0.011115337467134383,0.026787936592694867,14,1-2 Weeks
Banking,2017Q2,0.008537447568630877,0.018032274700969162,15,1-2 Weeks
Banking,2017Q3,0.005445606403227417,0.00990371873698068,14,1-2 Weeks
Banking,2017Q4,0.003857668583767836,0.00792225441753991,35,1-2 Weeks
Banking,2018Q1,-0.017686246459957283,-0.02224220014962956,8,~1 Week
Banking,2018Q2,0.0020879605499416623,0.0002745792504814951,13,~1 Week
Banking,2018Q3,0.006546132500608986,0.015409772869710125,5,1-2 Weeks
Banking,2018Q4,0.003271364937476486,0.01288385678932446,38,~2 Weeks
Banking,2019Q1,0.0071487920000686215,0.01756596111290269,23,1-2 Weeks
Banking,2019Q2,0.011483102912857823,0.02262501490228065,52,1-2 Weeks
Banking,2019Q3,-0.005474914576280129,-0.013553946823885065,36,1-2 Weeks
Banking,2019Q4,0.00878679049654775,0.023292050956081656,60,1-2 Weeks
Banking,2020Q1,-0.01857290689670676,-0.04306018093329952,18,1-2 Weeks
Banking,2020Q2,0.03302759927666198,0.050636084633927284,12,~1 Week
Banking,2020Q3,0.01067965764917716,0.024273972962390717,16,1-2 Weeks
Banking,2020Q4,0.017766042295798402,0.03673432311056669,47,1-2 Weeks
Banking,2021Q1,0.0026079228728872,-0.0208374581628973,23,~2 Weeks
Banking,2021Q2,0.01075800677077331,0.024895924901671588,17,1-2 Weeks
Banking,2021Q3,0.004606362562428386,0.010852620707458748,14,1-2 Weeks
Banking,2021Q4,-0.006589281349482446,-0.010824741451932277,49,1-2 Weeks
Banking,2022Q1,-0.01614946249113514,-0.017960777074647275,10,~1 Week
Banking,2022Q2,0.007611079788038373,-0.0037100071558963813,12,~1 Week
Banking,2022Q3,0.017057237709653023,0.02562321267189427,18,~1 Week
Banking,2022Q4,0.007610906014073607,0.015530579945339056,42,1-2 Weeks
Banking,2023Q1,0.0011494743792085,0.0025651117724822333,25,1-2 Weeks
Banking,2023Q2,0.00747594568782925,0.008239769155464493,25,~1 Week
Banking,2023Q3,0.0003258762942858853,-0.003909404055905154,18,~2 Weeks
Banking,2023Q4,0.011777832168138939,0.023690026098553568,60,1-2 Weeks
Banking,2024Q1,0.003183408952576341,0.008468678662486013,26,1-2 Weeks
Banking,2024Q2,0.014154382381888509,0.022721804348399693,39,1-2 Weeks
Banking,2024Q3,-0.014411436158039085,-0.015576548458644238,28,~1 Week
Banking,2024Q4,0.01602755741538441,0.026299109717946766,42,1-2 Weeks
Banking,2025Q1,-0.007744481273959107,-0.0018728306818715033,28,~1 Week
Banking,2025Q2,0.010880689689548554,0.021001852266666256,42,1-2 Weeks
Banking,2025Q3,0.0012806555229465386,0.005390462714251555,24,~2 Weeks
Banking,2025Q4,0.004874744311420393,0.0057492033100075,53,~1 Week
Banking,2026Q1,-0.014331527382566371,-0.006868903249185141,58,~1 Week
Banking,2026Q2,0.04175692907648797,0.09590281567618181,6,1-2 Weeks
Broad Market,2016Q2,0.004811223232418139,0.013646021500676201,8,1-2 Weeks
Broad Market,2016Q3,0.005629439106462206,0.0023408521376056812,8,~1 Week
Broad Market,2016Q4,0.0008871941552929377,0.0047770559238374515,38,~2 Weeks
Broad Market,2017Q1,0.006880195517628207,0.01223377027549433,14,1-2 Weeks
Broad Market,2017Q2,0.0045886971655578705,0.007284063281810412,15,1-2 Weeks
Broad Market,2017Q3,0.009844219718723743,0.011305767936426167,14,~1 Week
Broad Market,2017Q4,0.003259857918061568,0.0073608265113485945,35,1-2 Weeks
Broad Market,2018Q1,-0.002564779208452888,-0.0037904278520128907,8,~1 Week
Broad Market,2018Q2,0.002671616319548494,0.0078062555593414054,13,~2 Weeks
Broad Market,2018Q3,-0.0027988458617847797,-0.009502354282882115,5,~2 Weeks
Broad Market,2018Q4,-0.01159954395476567,-0.013199909308017925,38,~1 Week
Broad Market,2019Q1,0.010600001445974793,0.015408366388622996,23,~1 Week
Broad Market,2019Q2,0.00491471132349742,0.00812551673472093,52,1-2 Weeks
Broad Market,2019Q3,-0.0010599249441438263,-0.001959758816701393,36,1-2 Weeks
Broad Market,2019Q4,0.004342319186110871,0.013938751250772352,60,~2 Weeks
Broad Market,2020Q1,-0.018500899420762523,-0.03887201352722165,18,1-2 Weeks
Broad Market,2020Q2,0.026082456179348845,0.04820231038589074,12,1-2 Weeks
Broad Market,2020Q3,0.00770686462653594,0.02069216395833405,16,1-2 Weeks
Broad Market,2020Q4,0.008681273556668928,0.0161363649884636,47,1-2 Weeks
Broad Market,2021Q1,0.006774947353764496,0.008749934477668975,23,~1 Week
Broad Market,2021Q2,0.00741792356369423,0.017457913652960885,17,1-2 Weeks
Broad Market,2021Q3,0.001514184901144898,0.009688919035795487,14,~2 Weeks
Broad Market,2021Q4,-0.005956217338500765,-0.007455256559976375,49,~1 Week
Broad Market,2022Q1,-0.006872411333442047,-0.01776936046546726,10,1-2 Weeks
Broad Market,2022Q2,0.0023942465161268084,-0.012345956847443688,12,~2 Weeks
Broad Market,2022Q3,0.003757602072786927,0.004573577430044314,18,~1 Week
Broad Market,2022Q4,0.005293813512071428,0.01063809845805859,42,1-2 Weeks
Broad Market,2023Q1,0.005600591571605347,0.001049533228481515,25,~1 Week
Broad Market,2023Q2,0.006528276032671332,0.012829021514202626,25,1-2 Weeks
Broad Market,2023Q3,-0.0004921467371718749,-3.7613913281988806e-05,18,~1 Week
Broad Market,2023Q4,0.010872691847411136,0.021327634138365262,60,1-2 Weeks
Broad Market,2024Q1,0.0051513345151736455,0.010671063135230089,26,1-2 Weeks
Broad Market,2024Q2,0.006297960290937056,0.00865180986674503,39,~1 Week
Broad Market,2024Q3,-0.0017281054687273722,-0.002885368859983868,28,1-2 Weeks
Broad Market,2024Q4,0.007429101822030194,0.014040725530752932,42,1-2 Weeks
Broad Market,2025Q1,-0.011307368479241103,-0.015060605980818074,28,~1 Week
Broad Market,2025Q2,0.012337935330578727,0.02012163803370426,42,1-2 Weeks
Broad Market,2025Q3,0.0016048406644141478,0.004303888982868302,24,1-2 Weeks
Broad Market,2025Q4,0.004235089902201033,0.007585322823672737,53,1-2 Weeks
Broad Market,2026Q1,-0.006793523497365118,-0.002106002024331681,58,~1 Week
Broad Market,2026Q2,0.030949248004817773,0.07214799620198674,7,1-2 Weeks
Energy,2016Q2,0.01369965327114807,0.027890145015888875,8,1-2 Weeks
Energy,2016Q3,0.015921633197086206,0.011655766220010862,8,~1 Week
Energy,2016Q4,0.001129498554502121,0.00819979109414663,38,~2 Weeks
Energy,2017Q1,0.02042400769437746,0.03336229475044913,14,1-2 Weeks
Energy,2017Q2,-0.003257431059756643,0.0026495272133128063,15,~1 Week
Energy,2017Q3,0.026738116137000476,0.03949577834898134,14,~1 Week
Energy,2017Q4,0.016752483733199482,0.022371458968756724,35,~1 Week
Energy,2018Q1,0.0032880890175629998,-0.005581075348413849,8,1-2 Weeks
Energy,2018Q2,0.0027631572007369345,0.0056098115494356985,13,1-2 Weeks
Energy,2018Q3,-0.03467199163712103,0.007810643832946331,5,~1 Week
Energy,2018Q4,-0.01129293152654331,-0.00746323711714602,38,~1 Week
Energy,2019Q1,0.0025755602369816177,0.01972827415386433,23,~2 Weeks
Energy,2019Q2,-0.0009185982259017725,0.0064710559265785715,52,~2 Weeks
Energy,2019Q3,0.006518441348338094,0.008252807220963736,36,~1 Week
Energy,2019Q4,0.012279458743679547,0.021491277098136388,60,1-2 Weeks
Energy,2020Q1,-0.01879686465810178,-0.05245864442138528,18,1-2 Weeks
Energy,2020Q2,0.021782258769418725,0.053932673466898416,12,1-2 Weeks
Energy,2020Q3,-0.0014963981528494815,0.02214580262959597,16,~2 Weeks
Energy,2020Q4,-0.0005027846107431411,0.0019105266262684037,47,~2 Weeks
Energy,2021Q1,0.01614063283831457,0.0010772875849080804,23,~1 Week
Energy,2021Q2,0.027647536850206367,0.04229202295765807,17,~1 Week
Energy,2021Q3,0.020853812753942436,0.041820602841575134,14,1-2 Weeks
Energy,2021Q4,-0.01096415597117504,-0.022900033128876746,49,1-2 Weeks
Energy,2022Q1,0.006908169978095053,0.021182161025380293,10,~2 Weeks
Energy,2022Q2,-0.002986010633718667,-0.009492171561756642,12,~2 Weeks
Energy,2022Q3,0.006336030603625028,0.007271843317215106,18,~1 Week
Energy,2022Q4,-0.0035456981157619117,0.0016420095931922332,42,~1 Week
Energy,2023Q1,-0.004285245937291176,-0.014813181982019075,25,~2 Weeks
Energy,2023Q2,0.00506836443286137,0.021778000939497017,25,~2 Weeks
Energy,2023Q3,-0.0038617173098828253,-0.0037654000659178943,18,~1 Week
Energy,2023Q4,0.015312092249406824,0.033648725460420296,60,1-2 Weeks
Energy,2024Q1,0.004429609187756302,0.007425779038766834,26,1-2 Weeks
Energy,2024Q2,0.011121200023493892,0.02779764148880642,39,1-2 Weeks
Energy,2024Q3,-0.01613508723586773,-0.030533832049899713,28,1-2 Weeks
Energy,2024Q4,-0.0012987901440479727,0.0002810756055971313,42,~1 Week
Energy,2025Q1,-0.01993913673549667,-0.010568923612808518,28,~1 Week
Energy,2025Q2,0.01903934929197375,0.03217480843089532,42,1-2 Weeks
Energy,2025Q3,-0.01325220268257394,-0.015524743053777676,24,~1 Week
Energy,2025Q4,0.0051171547360683665,0.011503418721045955,53,1-2 Weeks
Energy,2026Q1,-0.014472151513522392,-0.007228216921594684,58,~1 Week
Energy,2026Q2,0.027683617490841084,0.0475993012318091,6,1-2 Weeks
IT,2016Q2,-0.00935879353502473,-0.002967989653608076,8,~1 Week
IT,2016Q3,-0.007037263969454905,-0.011727716909308997,8,1-2 Weeks
IT,2016Q4,0.004345181738872053,0.020183808101021244,38,~2 Weeks
IT,2017Q1,-0.001444337676778636,-0.012398320308071259,14,~2 Weeks
IT,2017Q2,0.005840352881112509,0.005031304557508706,15,~1 Week
IT,2017Q3,0.003322687484107024,0.014660840954143075,14,~2 Weeks
IT,2017Q4,0.004552583001574999,0.005817666962900957,35,~1 Week
IT,2018Q1,0.008940930396582029,0.0013455014956824825,8,~1 Week
IT,2018Q2,0.018226003728353344,0.03303682859439134,13,1-2 Weeks
IT,2018Q3,0.0042284860845596805,-0.004939898274899554,5,~1 Week
IT,2018Q4,-0.005704593114793364,0.0031866933712808936,38,~1 Week
IT,2019Q1,0.005696001638775994,0.0024474358315800604,23,~1 Week
IT,2019Q2,-0.002936426508225219,-0.00016472277423661892,52,~1 Week
IT,2019Q3,-0.003596933133746134,-0.003801454035210552,36,~1 Week
IT,2019Q4,-0.0039392296180077455,-0.0037728412507666517,60,~1 Week
IT,2020Q1,-0.008386858883025245,-0.018968185753732957,18,1-2 Weeks
IT,2020Q2,0.023852747097959454,0.04306380584981602,12,1-2 Weeks
IT,2020Q3,0.02569390850413644,0.06483107008821512,16,1-2 Weeks
IT,2020Q4,0.017371129839576078,0.025865788884671934,47,~1 Week
IT,2021Q1,0.014074484898376469,0.027176304041088138,23,1-2 Weeks
IT,2021Q2,0.006366128642966973,0.023065954985013015,17,~2 Weeks
IT,2021Q3,0.0032347904246580674,0.02660520198225017,14,~2 Weeks
IT,2021Q4,-0.004114276879848106,0.002671664166729678,49,~1 Week
IT,2022Q1,0.0029136648476744335,0.012328253480276708,10,~2 Weeks
IT,2022Q2,0.012605750665475606,-0.003976279528944901,12,~1 Week
IT,2022Q3,-0.0019112457479902297,0.0015093790071479373,18,~1 Week
IT,2022Q4,0.005085325626376832,0.004692518511944957,42,~1 Week
IT,2023Q1,0.004253272707273599,-0.013615205599587833,25,~2 Weeks
IT,2023Q2,0.007290372139854194,0.014636648515499472,25,1-2 Weeks
IT,2023Q3,0.003491005952958754,0.004546071915396935,18,~1 Week
IT,2023Q4,0.007919610942313415,0.01949631769579619,60,1-2 Weeks
IT,2024Q1,0.0006780573534697203,-0.00394446692536713,26,~2 Weeks
IT,2024Q2,0.011982054487469621,0.008225816515625315,39,~1 Week
IT,2024Q3,0.019260270930652516,0.019619330683323458,28,~1 Week
IT,2024Q4,0.012607970152917617,0.016827133790591794,42,~1 Week
IT,2025Q1,-0.032130799205924196,-0.057538836749193176,28,1-2 Weeks
IT,2025Q2,0.008330670476174907,0.018972790058656156,42,1-2 Weeks
IT,2025Q3,-0.011362421375790695,-0.012423963334792936,24,~1 Week
IT,2025Q4,0.011984469318914259,0.021790186154125955,53,1-2 Weeks
IT,2026Q1,-0.01267287652389879,-0.022276377796905108,58,1-2 Weeks
IT,2026Q2,0.010866962670991234,0.05927514285584923,6,~2 Weeks
Pharma,2016Q2,0.011683379571003181,0.005682517184446912,8,~1 Week
Pharma,2016Q3,0.0010283245338492258,-0.004081626776511124,8,~2 Weeks
Pharma,2016Q4,0.00252146016268438,0.003172386013076481,38,~1 Week
Pharma,2017Q1,-0.004817874323950014,-0.0006022075953799575,14,~1 Week
Pharma,2017Q2,-0.008381981212734958,0.0012957383398791175,15,~1 Week
Pharma,2017Q3,0.009284068174986114,0.0052982018567045795,14,~1 Week
Pharma,2017Q4,0.0028384074203070923,0.009402487628406541,35,~2 Weeks
Pharma,2018Q1,-0.019681778006277274,-0.03786812688809857,8,1-2 Weeks
Pharma,2018Q2,-0.009935447229480716,0.011168101100830564,13,~1 Week
Pharma,2018Q3,6.44977301007597e-05,0.01493370358771555,5,~2 Weeks
Pharma,2018Q4,-0.03682341172493104,-0.05120185642848165,38,~1 Week
Pharma,2019Q1,0.004525095895908119,0.011633307787395228,23,1-2 Weeks
Pharma,2019Q2,-0.01631174386109005,-0.02010039267170614,52,~1 Week
Pharma,2019Q3,-0.010447305207722225,-0.015530297938588214,36,~1 Week
Pharma,2019Q4,0.007284437143446143,0.021871792075128734,60,~2 Weeks
Pharma,2020Q1,0.0008869339623828512,0.005445554378094419,18,~2 Weeks
Pharma,2020Q2,0.014184854620868804,0.018834291848059716,12,~1 Week
Pharma,2020Q3,0.007176652669055406,0.0033269144829036,16,~1 Week
Pharma,2020Q4,0.010082830015530085,0.02902884609396106,47,~2 Weeks
Pharma,2021Q1,0.012093237415499591,0.012739730669135108,23,~1 Week
Pharma,2021Q2,0.0077369367221386915,0.007321981024436235,17,~1 Week
Pharma,2021Q3,0.021467211762348136,0.01730217953810144,14,~1 Week
Pharma,2021Q4,-0.008980855510302607,-0.013679465676096495,49,~1 Week
Pharma,2022Q1,-0.001445599761263603,0.015177904116030774,10,~2 Weeks
Pharma,2022Q2,-0.006424861914128228,-0.010630380155779662,12,1-2 Weeks
Pharma,2022Q3,0.00016463468827214434,0.006570302790309236,18,~2 Weeks
Pharma,2022Q4,-0.004437317011534523,-0.0017333418757259414,42,~1 Week
Pharma,2023Q1,-0.0007104174511576521,-0.00463092264481122,25,~2 Weeks
Pharma,2023Q2,0.0073553262736992505,0.01588283740220199,25,1-2 Weeks
Pharma,2023Q3,0.005924343827297767,0.011752085444784226,18,1-2 Weeks
Pharma,2023Q4,0.00778480620140673,0.01783662046987111,60,1-2 Weeks
Pharma,2024Q1,0.014881039667567117,0.022614708673056202,26,~1 Week
Pharma,2024Q2,-0.005007749683362946,-0.005532231560698547,39,~1 Week
Pharma,2024Q3,0.01083534855640623,0.022264909940262124,28,1-2 Weeks
Pharma,2024Q4,0.002852981256936113,0.008575138095428153,42,~2 Weeks
Pharma,2025Q1,-0.020836903394005783,-0.0196766318428449,28,~1 Week
Pharma,2025Q2,0.007533991738489025,0.008777180017233164,42,~1 Week
Pharma,2025Q3,-0.006766870017864646,0.003947943020812595,24,~1 Week
Pharma,2025Q4,0.007121172204248128,0.012661708780331246,53,1-2 Weeks
Pharma,2026Q1,-0.008483678859724744,-0.006928618376642809,58,~1 Week
Pharma,2026Q2,0.0013436075696032501,-0.00429951967035775,6,~2 Weeks
